PRINCÍPIO ATIVO,CNPJ,LABORATÓRIO,CÓDIGO GGREM,REGISTRO,EAN 1,EAN 2,EAN 3,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,TIPO DE PRODUTO (STATUS DO PRODUTO),REGIME DE PREÇO,PF Sem Impostos,PF 0%,PF 12%,PF 17%,PF 17% ALC,"PF 17,5%","PF 17,5% ALC",PF 18%,PF 18% ALC,PF 20%,PMVG Sem Impostos,PMVG 0%,PMVG 12%,PMVG 17%,PMVG 17% ALC,"PMVG 17,5%","PMVG 17,5% ALC",PMVG 18%,PMVG 18% ALC,RESTRIÇÃO HOSPITALAR,PMVG 20%,CAP,CONFAZ 87,ICMS 0%,ANÁLISE RECURSAL,LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS),COMERCIALIZAÇÃO 2020,TARJA,Column1,_1,_2,_3,_4,_5,_6,_7,_8
ACETATO DE CLORMADINONA;ETINILESTRADIOL,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508020070132607,1004312890018,7891317154721,    -,    -,ACETATO DE CLORMADINONA + ETINILESTRADIOL,"(2,0 + 0,03) MG COM REV CT BL AL PLAS PVC/PVDC TRANS  X  21",G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG,Genérico,Regulado,2064,2064,2345,2487,2487,2502,2502,2517,2517,2580,1620,1620,1840,1952,1952,1963,1963,1975,1975,Não,2025,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE DEGARELIX,74.232.034/0001-48,LABORATÓRIOS FERRING LTDA,521416070006103,1287600170032,7896165600918,    -,    -,FIRMAGON,"80 MG PO LIOF SOL INJ SC CT FA VD TRANS + DIL SER PRENC VD TRANS X 4,2 ML + ADAPT + AGU",L2B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS,Novo,Regulado,46695,46695,53063,56259,56259,56600,56600,56945,56945,58369,36642,36642,41639,44146,44146,44414,44414,44685,44685,Não,45802,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE DESMOPRESSINA,61.282.661/0001-41,LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA,519507902176111,1064601720018,7898149934910,7898943602497,    -,ACETATO DE DESMOPRESSINA,"0,1 MG/ML SOL NAS CT FR SPR VD AMB X 2,5 ML",H4D - HORMÔNIOS ANTIDIURÉTICOS,Genérico,Regulado,12374,12374,,,,,,,,,9710,9710,,,,,,,,Não,,Sim,Sim,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE DEXAMETASONA,57.507.378/0003-65,EMS S/A,507739001166111,1023508480013,7896004721903,    -,    -,ACETATO DE DEXAMETASONA,1 MG/G CREM DERM CT BG AL X 10 G  ,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,Genérico,Regulado,657,657,747,792,792,796,796,801,801,821,516,516,586,621,621,625,625,628,628,Não,644,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ACETATO DE FLUDROCORTISONA,02.433.631/0001-20,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,505618010042617,1376401600011,7895858017002,    -,    -,FLORINEFE,"0,1 MG COM CT FR VD AMB X 100",H2A2 - CORTICOSTERÓIDES ORAIS PUROS,Novo,Regulado,20155,20155,,,,,,,,,15816,15816,,,,,,,,Não,,Sim,Sim,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE FLUORMETOLONA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,500901601170311,1006810960014,7896548198865,    -,    -,FLORATE,"1,0 MG/ML SUS OFT CT FR GOT PLAS OPC X 5 ML",S1B - CORTICOSTERÓIDES OFTALMOLÓGICOS,Novo,Regulado,1766,1978,2286,2444,2128,2461,2141,2479,2154,2550,1386,1552,1794,1918,1670,1931,1680,1945,1690,Não,2001,Não,Não,Não,,Negativa,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE GANIRRELIX,03.560.974/0001-18,MERCK SHARP & DOHME FARMACEUTICA LTDA.,527302501154311,1017100970011,7897572001336,    -,    -,ORGALUTRAN,"0,5 MG/ML SOL INJ SC CT SER PREENC VD TRANS X 0,5 ML",H1C3 - HORMÔNIOS DE LIBERAÇÃO ANTIGONADOTROFINA,Novo,Regulado,23979,23979,27249,28890,28890,29065,29065,29243,29243,29974,18816,18816,21382,22670,22670,22807,22807,22947,22947,Não,23521,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ACETATO DE GLATIRÂMER,05.333.542/0001-08,TEVA FARMACÊUTICA LTDA.,537500101151219,1557300010010,7898919602933,    -,    -,COPAXONE,20 MG/ML SOL INJ CT 28 SER PREENC VD TRANS X 1 ML,N7A - PRODUTOS PARA ESCLEROSE MÚLTIPLA,Novo,Regulado,464846,464846,,,,,,,,,364765,364765,,,,,,,,Não,,Sim,Sim,Não,,Positiva,Não,Tarja  Vermelha,"","","","","","","","",""
ACETATO DE GOSSERRELINA;GOSERRELINA,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA,502320020033607,1161800430038,5000456057547,7896206400552,    -,ZOLADEX,"3,6 MG DEPOT + SER PREENC PLAS TRANS BS CT ENV AL POLIET X 1",L2A3 - ANÁLOGOS HORMONAIS DE LIBERAÇÃO DE GONADOTROFINAS CITOSTÁTICOS,Novo,Regulado,66059,66059,,,,,,,,,51836,51836,,,,,,,,Não,,Sim,Sim,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE HIDROCORTISONA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520729802163114,1037005270019,7896112132936,    -,    -,ACETATO DE HIDROCORTISONA,10 MG/G CREM DERM CT BG AL X 15 G ,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,Genérico,Regulado,669,749,866,926,806,932,811,939,816,966,525,588,680,727,632,731,636,737,640,Não,758,Não,Não,Não,,Negativa,Sim,Tarja  Vermelha,"","","","","","","","",""
ACETATO DE ICATIBANTO,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501121040039017,1063903050017,7896641816604,    -,    -,FIRAZYR,10 MG/ML CT 1 SER X 3 ML + AGULHA,B6D - PRODUTOS PARA ANGIODEMA HEREDITÁRIO,Novo,Regulado,533664,597704,690700,738600,642969,743758,646866,748989,650810,770674,418766,469018,541992,579579,504538,583627,507596,587732,510691,Não,604748,Não,Não,Não,,Negativa,Não,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE LANREOTIDA,07.718.721/0001-80,BEAUFOUR IPSEN FARMACÊUTICA LTDA,539214010000603,1697700020043,7898932171072,    -,    -,SOMATULINE AUTOGEL,"60 MG SOL INJ LIB PROL CT ENV SER PRENC PLAS TRANS AG RETRÁTIL X 0,5 ML ",H1C2 - HORMÔNIOS ANTICRESCIMENTO,Novo,Regulado,262884,262884,,,,,,,,,206285,206285,,,,,,,,Não,,Sim,Sim,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ACETATO DE LEUPRORRELINA,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511513501158415,1004704100019,7897595604460,    -,    -,LECTRUM,"3,75 MG PO LIOF SUS INJ CT FA VD TRANS AMP DIL X 1,5 ML + SER + 2 AGU",L2A3 - ANÁLOGOS HORMONAIS DE LIBERAÇÃO DE GONADOTROFINAS CITOSTÁTICOS,Similar,Regulado,49837,49837,,,,,,,,,39107,39107,,,,,,,,Não,,Sim,Sim,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE MEDROXIPROGESTERONA,46.070.868/0036-99,LABORATÓRIOS PFIZER LTDA,522236201118418,1021601680012,7891268102604,    -,    -,FARLUTAL,"10,0 MG COM CT  BL AL PLAS TRANS X 10","G3D - PROGESTÓGENOS EXCLUINDO G3A, G3F",Similar,Regulado,1287,1287,1463,1551,1551,1560,1560,1570,1570,1609,1010,1010,1148,1217,1217,1224,1224,1232,1232,Não,1263,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,"","","","","","","","",""
ACETATO DE MEGESTROL,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505103302118310,1018001420033,7896016800726,    -,    -,MEGESTAT,160 MG COM CT FR VD AMB X 30,L2A2 - HORMÔNIOS PROGESTOGÊNEOS CITOSTÁTICOS,Novo,Regulado,20376,20376,23155,24549,24549,24698,24698,24849,24849,25470,15989,15989,18170,19264,19264,19380,19380,19499,19499,Não,19986,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,"","","","","","","","",""
ACETATO DE METILPREDNISOLONA,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533022701158416,1049712120015,7896006286660,    -,    -,PREDI-MEDROL,40 MG/ML SUS INJ CT FA VD INC X 2 ML,H2A1 - CORTICOSTERÓIDES INJETÁVEIS PUROS,Similar,Regulado,1336,1336,1518,1610,1610,1619,1619,1629,1629,1670,1048,1048,1191,1263,1263,1270,1270,1278,1278,Não,1310,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ACETATO DE NOMEGESTROL,05.333.542/0001-08,TEVA FARMACÊUTICA LTDA.,537512080004304,1557300200014,7898919603183,    -,    -,LUTENIL,5 MG COM CT CART BL AL PLAS TRANS X 10 ,"G3D - PROGESTÓGENOS EXCLUINDO G3A, G3F",Novo,Regulado,3728,3728,4236,4492,4492,4519,4519,4546,4546,4660,2925,2925,3324,3525,3525,3546,3546,3567,3567,Não,3657,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE NORETISTERONA,18.459.628/0001-15,BAYER S.A.,538912050011814,1705600560016,7891106905893,    -,    -,CLIANE,2 MG + 1 MG COM REV CT BL CALEND AL PLAS INC X 28,G3F - ASSOCIAÇÕES DE ESTRÓGENOS E PROGESTÓGENOS,Novo,Regulado,3732,3732,4241,4496,4496,4524,4524,4551,4551,4665,2929,2929,3328,3528,3528,3550,3550,3571,3571,Não,3661,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE OCTREOTIDA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526527204159311,1006800090106,7896261003866,    -,    -,SANDOSTATIN,"20 MG PO SUS INJ CT FA VD TRANS + 1 SER DIL X 2,5 ML + SIST APLIC ",H1C2 - HORMÔNIOS ANTICRESCIMENTO,Novo,Regulado,477460,477460,,,,,,,,,374663,374663,,,,,,,,Não,,Sim,Sim,Não,,Positiva,Não,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE PREDNISOLONA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,500900101174115,1006810910017,7896548138281,    -,    -,ACETATO DE PREDNISOLONA,"10,0 MG/ML SUS OFT CT FR PLAS OPC CGT X 5 ML",S1B - CORTICOSTERÓIDES OFTALMOLÓGICOS,Genérico,Regulado,1467,1643,1899,2030,1767,2044,1778,2059,1789,2118,1151,1289,1490,1593,1387,1604,1395,1616,1404,Não,1662,Não,Não,Não,,Negativa,Sim,Tarja  Vermelha,"","","","","","","","",""
ACETATO DE RACEALFATOCOFEROL,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511519120070007,1004703990045,7897595624802,    -,    -,VITAMINA E,400 MG CAP GEL MOLE CT BL AL PLAS TRANS X 30,A11X3 - VITAMINA E PURA,Específico,Liberado,1375,1540,1780,1903,1657,1916,1667,1930,1677,1986,1079,1208,1397,1493,1300,1503,1308,1515,1316,Não,1558,Não,Não,Não,,Negativa,Sim,Tarja -(*),"","","","","","","","",""
ACETATO DE RACEALFATOCOFEROL;ÁCIDO FÓLICO,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504120100070007,1097402220089,7896112427032,    -,    -,ENVID,800 MCG + 20 MG CAP MOLE CT BL AL PLAS OPC X 30,A11X9 - TODAS OUTRAS VITAMINAS,Específico,Liberado,3722,4169,4818,5152,4485,5188,4512,5224,4539,5375,2921,3271,3781,4043,3519,4071,3541,4099,3562,Não,4218,Não,Não,Não,,Negativa,Sim,Tarja -(*),"","","","","","","","",""
ACETATO DE RACEALFATOCOFEROL;BETACAROTENO;SELÊNIO;COBRE;ÁCIDO ASCÓRBICO;ZINCO,60.726.692/0001-81,MARJAN INDÚSTRIA E COMÉRCIO LTDA,524820030010007,1015500910123,7896226102801,    -,    -,VITERGAN ZINCO,COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30,A11A4 - OUTROS POLIVITAMÍNICOS COM MINERAIS,Específico,Liberado,5200,5824,6730,7197,6265,7247,6303,7298,6341,7509,4080,4570,5281,5647,4916,5687,4946,5727,4976,Não,5892,Não,Não,Não,,Negativa,Sim,Tarja Venda Livre/Sem Tarja (*),"","","","","","","","",""
ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL,33.145.194/0001-72,LABORATÓRIO GROSS S. A.,517700103135419,1044401130018,7890282800022,7892828000026,    -,ADEFORTE,SOL OR CT FR VD AMB CGT X 15 ML ,"A11B4 - POLIVITAMÍNICOS SEM MINERAIS, OUTROS",Específico,Liberado,4251,4761,5502,5883,5122,5924,5153,5966,5184,6139,3336,3736,4317,4616,4019,4648,4044,4682,4068,Não,4817,Não,Não,Não,,Negativa,Sim,Tarja Venda Livre,"","","","","","","","",""
ACETATO DE RETINOL,18.459.628/0001-15,BAYER S.A.,538900302118414,1705600050018,7891106911788,    -,    -,AROVIT,50000 UI DRG CT BL AL PLAS AMB X 30,A11C1 - VITAMINA A PURA,Específico,Regulado,479,536,619,662,577,667,580,672,584,691,376,421,486,519,453,523,455,527,458,Não,542,Não,Não,Não,,Negativa,Não,Tarja  Vermelha,"","","","","","","","",""
ACETATO DE RETINOL;CLORIDRATO DE PIRIDOXINA;COLECALCIFEROL,29.346.301/0001-53,LABORATÓRIO FARMACÊUTICO VITAMED LTDA,517300701132310,1169500300010,7896202500041,    -,    -,HAAR INTERN,60 MG COM REV CT BL AL PLAS INC X 60,D11A - OUTRAS PREPARAÇÕES DERMATOLOGICAS,Específico,Liberado,4020,4502,5202,5563,4843,5602,4872,5642,4902,5805,3154,3533,4082,4365,3800,4396,3823,4427,3847,Não,4555,Não,Não,Não,,Negativa,Não,Tarja Venda Livre,"","","","","","","","",""
ACETATO DE RETINOL;CLORIDRATO DE PIRIDOXINA;RIBOFLAVINA;CIANOCOBALAMINA;FLUORETO;BIOTINA;COLECALCIFEROL;IODETO DE POTÁSSIO;SULFATO DE MANGANÊS;PANTOTENATO DE CÁLCIO;SULFATO DE POTÁSSIO;FUMARATO FERROSO;NITRATO DE TIAMINA;PANAX GINSENG;NICOTINAMIDA;ÁCIDO ASCÓRBICO;RUTOSÍDEO;ACETATO DE RACEALFATOCOFEROL,17.562.075/0001-69,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,506320030033007,1156001940012,7898495608732,    -,    -,GERILON,CAP MOLE CT BL AL PLAS TRANS X 30,A13A2 - TODOS OS OUTROS TÔNICOS,Específico,Liberado,4101,4593,5308,5676,4941,5715,4971,5756,5001,5922,3218,3604,4165,4454,3877,4484,3901,4517,3924,Não,4647,Não,Não,Não,,Negativa,Sim,Tarja Venda Livre/Sem Tarja (*),"","","","","","","","",""
ACETATO DE RETINOL;COLECALCIFEROL,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501120120031907,1063902430010,7896641800627,    -,    -,AD-TIL,(50000 + 10000) UI/ML SOL OR CT FR GOT PLAS AMB X 10 ML,"A11B4 - POLIVITAMÍNICOS SEM MINERAIS, OUTROS",Específico,Regulado,465,521,602,644,560,648,564,653,567,672,365,409,472,505,439,508,443,512,445,Não,527,Não,Não,Não,,Negativa,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE SÓDIO TRIHIDRATADO,05.155.425/0001-93,CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA,540620080003107,1640000040021,7898920500402,    -,    -,ACETATO DE SÓDIO,2 MEQ/ML SOL INJ IV CX 10 FA VD TRANS X 50 ML,K1A4 - SOLUÇÕES ELETROLÍTICAS 1/3,Específico,Regulado,29058,29058,33020,35010,35010,35222,35222,35437,35437,36323,22802,22802,25911,27472,27472,27639,27639,27808,27808,Não,28503,Não,Não,Não,,Positiva,Não,Tarja Vermelha (*),"","","","","","","","",""
ACETATO DE SÓDIO TRIIDRATADO,05.155.425/0001-93,CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA,540600401155417,1640000040013,7898920500167,    -,    -,ACETATO DE SÓDIO,2 MEQ/ML SOL INJ IV CX 50 AMP VD TRANS X 10 ML,K1A4 - SOLUÇÕES ELETROLÍTICAS 1/3,Específico,Regulado,43891,43891,49876,52881,52881,53201,53201,53526,53526,54864,34441,34441,39138,41496,41496,41747,41747,42002,42002,Sim,43052,Não,Não,Não,,Positiva,Sim,Tarja Vermelha (*),"","","","","","","","",""
